,sentiment,content
619,neutral,tameshad i ll sure call soon btw masita leaf tomorrow
620,0,laurenbernal make one i m still craving shrimp
621,neutral,turning right now
622,0,luuloo im really sorry know wallah u feel life shittttttttt
623,neutral,wanna work tonight
624,neutral,jordangerous oh really much opinion either way night rip everything
625,0,dougiemcfly great show doug fun im sorry wont watch
626,neutral,missed paul ice cream man work
627,0,i am umlaut oh no i m sorry hear
628,0,thursdayband can t even call belgium suck
629,0,happy bunny
630,0,home got nice plug chipotle
631,neutral,found http tinyurl com qlrcec fucking frenchies set precedent
632,0,i m bored want stay home tonight want spend money blah
633,0,mac user completely given google chrome
634,neutral,i m class right week school
635,0,tired
636,neutral,want sunbathin
637,0,davidismyangel enough time if get vip know make least they ll other
638,0,horrible dream last night also one employed sigh only
639,neutral,cleaning
640,0,mother day brunch gang yay zoo much fun
641,neutral,brainberry nice one
642,neutral,he s off again wish would make frickin mind
643,neutral,studying spite whatever wonderful unforgettable weekend dc
644,0,home alone yet again mam dad rather go club stay take out yes think prof loved
645,neutral,charlieboy thats u go weekend
646,neutral,going get tattos get paid jack
647,neutral,think something okay goodluck ako http plurk com p xbnl
648,neutral,curioustwibbit make sense i d totally show girlfriend asking wear high school prom dress
649,neutral,lozhush let first
650,0,deathstar destroys starship enterprice http bit ly agcth can t get enough video starwars startrek
651,neutral,started week wedding ending week funeral
652,neutral,aquarices driving err speeding
653,0,working working working www redirlanda e many hour spent worth letï¿½s make red irlanda big
654,neutral,retrorewind great show today
655,0,hilzfuld patience worth
656,0,cant girl like whats walet
657,neutral,thesims well u brit wait day it thought gonna realized once guess worth wait
658,neutral,anyone remember izone camera well still mine pretty rad
659,neutral,whooops wrong smiley supposed lol
660,neutral,selfish hisashi mï¿½y em mï¿½ torrent thï¿½ bï¿½ ch trï¿½n nhï¿½ ang thiï¿½n long l i ch y xu ng i u tra
661,neutral,finished cleaning bathroom smell like clorox
662,0,sad gone show mcfly fan them
663,0,getting swing thing miss someone
664,neutral,eating lunch school
665,0,sleepy earlier didnt get see matt
666,neutral,gen can t blip right now
667,neutral,got wiff pazik fart
668,0,cynthiay dr hook awesome
669,0,justinodom dbl booooooo sick flippin blow bahaha kno dont many friend either feel lame haha
670,neutral,beer fridge
671,neutral,nicknotlive eat something
672,neutral,brunolorenz e ah ghost shell ï¿½ meu anime favorito assistiu
673,neutral,need wordpress template designed contact design theme cheap
674,0,mtmodular pixy number give energy rush playing festival close june work go
675,0,day cant go slower
676,neutral,killerannax vickyt losing demi miley
677,neutral,trevorgoff woo knew could convert ubertwitter think ui way friendly compared tinytwitter
678,0,twitter second day running study leave me car one piece
679,0,embossers expensive get one cheap trying save papersource order go tonight sry bank account
680,neutral,phxnerd sorry make good luck next time though
681,neutral,cheetahmamibia oooo ok havent accepted friend request
682,0,rained ever day miami since i ve here
683,0,brran hey you ever pre order sims i m sad im poor get right
684,neutral,going bed now good night tweeter
685,0,lonely
686,0,nettagyrl make sad follow someone converse similar bios follow back
687,neutral,i m grounded til tomorrow sorry anyone made plan with it ll tomorrow annoyed http plurk com p xr
688,0,mr mcsupergirl ok finished set u free sooooo mad rite now it cant end like that dont want bad guy
689,neutral,changed username
690,neutral,mulderscully im cookie wont comment heh girl sang crush btw wud u know
691,neutral,paulreid sorry sounded like year old texting tried tweetshrinking built tweed deck another cool feature
692,0,ready go work now cannot bothered
693,0,i m feeling frustrated i can t get thing work
694,0,headache boo
695,0,last day ko olina north shoreee
696,neutral,whatsonthetube total tv quote sure u would know
697,0,psa i ve usuing twiddict last tweet yet show bored bare w me
698,neutral,yellowpeel sight made afternoon
699,neutral,and make pledge it
700,neutral,cooking brown rice http bit ly gihac
701,neutral,catching holiday expense two week gift grub
702,neutral,leave meet boriori now i m looking forward seeing him i m done wanted to boo urn wish work
703,0,dont like random gloomy weather
704,neutral,month ahaha dunno go tomorrow lmao cause went today freakin filipino parent aha
705,0,impossible watch full flash video mac
706,neutral,bum hurt
707,0,nobody write
708,neutral,divarina tell hasnt miss boge
709,0,town uncle gabriel coming in miss gabe tempted ask go back baton rouge stay side fam
710,neutral,livelikemusic awesome saw added myspace could please gt not lt tag photo there thanks
711,neutral,satisfied fp review
712,neutral,juliankimmings never touched drop me
713,0,pinksealight oh lucky u need send mine away get fixed
714,0,http twitpic com q so i pe pocket artoo
715,0,tired going take nap finger hurt
716,neutral,go sleep
717,0,xjakexchaosx playing st pete sold month im trying go orlando one live st pete lol
718,neutral,ashumittal twilightfairy wci hashtag simply dying anytime soon it
719,0,supposed great weather today amp moro luck im stuck work day
720,neutral,im soooo loney
721,0,feel sick like wanna get bed bothered go work turn da light off pull da shade n tv type sick
722,0,so woke time work boo
723,neutral,kofoswagnificnt b u slept missed ride chillin telly friday night
724,0,xoxojennxoxox feel lost keep running in head staring face haha basically headache amp eye hurt
725,neutral,extremeannette ok thank
726,neutral,wanna b malik taking stage
727,neutral,weather tooo hottt mayn cnt take it n styl aint got ride flu n want baby bk
728,0,finally going bed staying reading script quot remember me quot sad sooo good happy mother s day mother s
729,neutral,mangamaniac wilshire it stayed last year
730,neutral,short stack need add short stack tv
731,0,heading dmv pay hard earned money
732,0,sars really got down
733,neutral,toddh t im sooooo bored right
734,neutral,jimmydouglas thanks i ll guy furniture
735,neutral,anaruba need carseats
736,neutral,cant hide tweetie icon change http twitpic com jo
737,neutral,caseywright acai email yes ton them
738,0,big sad face bing work iphone take regular mobile live search
739,neutral,listens msi bakes banana bread weird she remarkably much anymore
740,0,booo dario let tk get hair cut
741,neutral,socallove well grand cancelled due weather
742,neutral,gregmike saw across street manuels fur coat must short supply somewhere
743,neutral,beckypidz charmer like football too
744,neutral,peterpanik hm u guess
745,neutral,june gloom upon u
746,neutral,american trade journalist ask pr how you almost time uk journalist erm not much come
747,0,gcrush nopantsdance thinking excited guy move realized sad see go
748,0,hour sleep last night want crawl ball somewhere sleep hour work till six
749,neutral,build hotel without air con bloody boiling here
750,neutral,ok time study bus law ethic gotta test today
751,0,respect fresh heineken man bag http twitpic com jdrg
752,neutral,stephreayy going out
753,0,love baby hurt me hurt me more want watch night ruxbury right now
754,0,unmarketing fun idea but saw clothing would really look slouchy would buy think not people r buying dream
755,neutral,alllyy yes know gross haha im better
756,0,jhonenv need horror lovecraftian actually enough weird horror movie
757,neutral,mateoviento see link web interface
758,0,rachael make want cry
759,neutral,listening commentary track holiday inn never thought i d see bing crosby black face rest movie cute
760,neutral,joidlove gotta b talkin bout clubbin cant b talkin bout movie dinner or hangin
761,0,jgooden put way make much sense it rotfl
762,0,proctorsarm least posada good ab
763,neutral,want chocolate milkkk
764,0,bit tongue blood everywhere
765,0,gillianre im happy im emailin complaint haha il hav listen sunday
766,neutral,http twitpic com shw took class minute ago awsome bad graduate next year
767,neutral,want everyone know he s watch cypher
768,0,beer garden ipod friday night shame i ve got work tomorrow
769,neutral,faith daphne
770,neutral,djing prom i d free there prob gonna dj who s stuck s boooooo
771,0,feeling sick oh well reckon people bus cursed me anyways nighty night all
772,0,dont wanna miss laker game tonight i m sad
773,neutral,ghhh went hour earlier bed thinking ill get area hr sleep woke hr earlier today gonna looooong one again
774,0,ex make cry wish stronger
775,0,wish sun would come out i guess matter since i m work can t enjoy anyways
776,neutral,going pune tomorrow
777,neutral,going work soon
778,0,leave mr sweetbullshit cuz go work really want to
779,neutral,heading airport
780,neutral,sore head
781,0,kirbis trusted matt life picture funnnn night though
782,neutral,lbruning called dedicated
783,neutral,atl nj almost home
784,neutral,imseth no yet week left o summer holiday now
785,0,kvbuckley know enough sotomayor made big boo boo talking making law know branch do
786,0,going post office try sort whole ebay hacker thing
787,0,school tired didnt hear text last night lol still tired love jesus christ
788,neutral,tattoo seven yet
789,neutral,prom s over denny s katie kelly lt
790,0,deanm hey twit watched poor holly britain got talent poor thing people mean year old little girl
791,0,getting used getting cold asthma paying it
792,neutral,don t need education
793,neutral,beach nanny s got back roast iater pudding
794,0,dutchreaganite roflmao feel inspired go start huge bonfire
795,neutral,flyguyvan u let kno lady s spayed potty trained see still want
796,0,low low low low low low low low low
797,neutral,http twitpic com b clean
